object,stage,elapsed_seconds,exit_status
object_C,preprocess_foreground,24,0
object_C,magic123_preprocess_rgba_depth,15,0
object_A,preprocess,422,0
object_A,colmap_feature_extractor,12,0
object_A,colmap_exhaustive_matcher,4,0
object_A,colmap_mapper,9,0
object_A,colmap_model_analyzer,0,0
object_A,preprocess,430,0
object_A,colmap_feature_extractor,11,0
object_A,colmap_exhaustive_matcher,5,0
object_A,colmap_mapper,9,0
object_A,colmap_model_analyzer,0,0
object_A,2dgs_train,492,0
object_A,2dgs_render_export,25,0
background_garden,2dgs_train,1984,0
object_C,magic123_coarse,3133,0
object_C,magic123_fine,3362,0
object_B,threestudio_train,3267,0
background_garden,2dgs_render_export,857,0
